Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_12.vsi - 40x_01 #1,e62e1852-3fd9-401c-aadc-974f200297cc,OVLT,,Image,Polygon,937.01,1572,258,0,0,0,258,0,0,0,0,0,89259.3,1230.1
Image_12.vsi - 40x_01 #1,e8413932-a7f6-46dc-a96f-f5a809ff1521,AVPE,,Image,Polygon,909.57,1375.7,1320,16,19,4,1281,2.955,5,2,2,4,698818,4778
Image_12.vsi - 40x_01 #1,f7124045-0ef9-4107-a948-301bcbd3d820,MnPO,,Image,Polygon,961.29,535.93,674,9,12,3,650,3.561,6.231,2,2,4,318240.3,2471.3
Image_12.vsi - 40x_01 #1,2262eeef-62a1-4b61-b434-e8816344814c,LPO,,Image,Rectangle,314.98,470.35,1033,11,8,1,1013,1.936,2.904,2,1,3,592599.5,3141.3
Image_12.vsi - 40x_02 #3,a36bc29f-82ba-4a74-bfa8-d58309a5cb6d,OVLT,,Image,Polygon,1113.4,1791.3,159,0,0,0,159,0,0,0,0,0,52614.8,961.92
Image_12.vsi - 40x_02 #3,d3fe752e-cfc3-438a-97ab-8742209be836,AVPE,,Image,Polygon,1109.2,1610,1067,13,12,5,1037,2.812,4.873,2,2,4,695924.8,4185.6
Image_12.vsi - 40x_02 #3,119dcbd0-aa55-4bf4-a4c6-cdba68ae2de2,MnPO,,Image,Polygon,1146.1,667.02,505,10,5,2,488,3.366,5.149,2,1,3,311668.2,2751.4
Image_12.vsi - 40x_02 #3,23e7c4bc-7e11-400a-a9d8-0c2b7c74730f,LPO,,Image,Rectangle,353.87,614.65,670,3,0,7,660,1.493,3.582,2,3,5,600371.3,3118.3
Image_12.vsi - 40x_03 #5,30b8b8f4-3bf8-4570-8836-0b66b9a466fe,AVPE,,Image,Polygon,806.41,1889.6,1248,22,20,7,1199,3.926,6.651,2,2,4,697136,3822.3
Image_12.vsi - 40x_03 #5,9117169b-3a35-4d54-9cc0-0c09852c499a,MnPO,,Image,Polygon,921.11,966.23,671,9,7,1,654,2.534,3.875,2,1,3,296418,2800.1
Image_12.vsi - 40x_03 #5,bd7afb56-b288-4113-814e-ee661cdc7936,LPO,,Image,Rectangle,335.86,946.38,936,7,15,3,911,2.671,4.915,2,2,4,572678,3048.5
Image_13.vsi - 40x_01 #1,5d5aba36-7e6a-4e1d-b927-409aedc20c0c,AVPE_x05,,Image,Polygon,995.32,2087,643,0,0,0,643,0,0,0,0,0,358182.4,2749.2
Image_13.vsi - 40x_01 #1,9d5216a3-3f43-49f4-87e6-b7429393ce95,MnPO,,Image,Polygon,847.19,648.5,555,8,2,4,541,2.523,4.324,2,2,4,322442,2720.7
Image_13.vsi - 40x_01 #1,e6336c18-56c7-4451-bda7-5bf34d7668e6,LPO,,Image,Rectangle,1890.1,1412,837,8,7,4,818,2.27,4.062,2,2,4,600006.6,3103.2
Image_13.vsi - 40x_01 #1,686f653e-02fe-4d7a-801b-f0c77842e59a,OVLT,,Image,Polygon,678.93,2222.5,318,0,0,0,318,0,0,0,0,0,104345.2,1236.6
Image_13.vsi - 40x_02 #3,9465a9f0-3264-42b0-b15a-25294d1c927b,OVLT,,Image,Polygon,659.97,2269.5,315,0,0,0,315,0,0,0,0,0,93701.8,1186.8
Image_13.vsi - 40x_02 #3,12d80226-8a7d-4864-a5e2-476e558f432f,AVPE_x05,,Image,Polygon,921.48,1999.6,716,1,4,1,710,0.838,1.676,1,2,3,367385.3,2524.3
Image_13.vsi - 40x_02 #3,d70c9367-3ba8-4ea5-8800-c892ada0d985,MnPO,,Image,Polygon,636.71,1095.1,621,0,0,0,621,0,0,0,0,0,353158.5,2776.9
Image_13.vsi - 40x_02 #3,328f005b-8dbb-4f2e-b84a-fee73803e19f,LPO,,Image,Rectangle,1788.5,1345.2,789,5,6,7,771,2.281,4.816,2,2,4,632442.3,3181.1
Image_14.vsi - 40x_01 #1,2bc12a86-7133-4d2a-8b3b-ea3b89332076,MnPO,,Image,Polygon,1466.4,1050.9,615,9,45,17,544,11.54,24.39,3,2,5,287300.9,2436.1
Image_14.vsi - 40x_01 #1,63028e1f-3445-401d-b103-9e243218f9c2,LPO,,Image,Rectangle,616.3,810.18,1030,22,17,10,981,4.757,8.35,2,2,4,609654.2,3134
Image_14.vsi - 40x_01 #1,3bd86c98-3c66-4f89-a89f-0530d02c1990,AVPE,,Image,Polygon,1425.4,1997.9,1392,31,78,37,1246,10.49,21.41,3,2,5,723086.5,5426.8
Image_14.vsi - 40x_02 #3,98a8e974-9869-44db-992a-28cdd26303f2,MnPO,,Image,Polygon,1842.7,811.44,653,10,36,26,581,11.03,24.5,3,2,5,311745.7,2603
Image_14.vsi - 40x_02 #3,090dd5b0-92a3-400b-b954-b0a4ab9a4785,AVPE,,Image,Geometry,1645.6,1646.1,1163,8,46,30,1079,7.223,16.34,2,2,4,854979.8,5576.2
Image_14.vsi - 40x_02 #3,fd843739-d31c-40ed-89dc-1b06b2aa3ddd,LPO,,Image,Rectangle,572.64,845.35,703,11,12,8,672,4.41,8.393,2,2,4,577417.3,3044.1
Image_14.vsi - 40x_03 #5,66f978b9-e699-40a9-a3a4-656b7c7dc613,MnPO,,Image,Polygon,1694.6,1151.5,801,11,60,19,711,11.24,23.47,3,2,5,332773.6,2709.2
Image_14.vsi - 40x_03 #5,bdea2c73-5ffc-4cd6-bdf2-7da7442d623c,AVPE,,Image,Geometry,1492.5,2070.7,1276,10,42,35,1189,6.818,15.6,2,2,4,833087.2,5915.1
Image_16.vsi - 40x_01 #1,1234bbfe-10da-48dd-b00a-041f42487641,OVLT,,Image,Polygon,1263.3,1925.2,151,0,0,0,151,0,0,0,0,0,38218.1,696.92
Image_16.vsi - 40x_01 #1,f4f7c97b-3d54-4839-a10d-9a78b920d18e,AVPE,,Image,Polygon,1309.2,1679.8,1792,3,4,3,1782,0.558,1.116,1,2,3,706822.2,3855
Image_16.vsi - 40x_01 #1,128efac2-0cf0-4366-a14a-cd0ddf53003d,MnPO,,Image,Polygon,1257.4,777.38,783,110,12,3,658,15.96,18.26,3,1,4,292977.8,2540.9
Image_16.vsi - 40x_01 #1,1f1a578d-54b2-4bd4-a1fa-4890f9e21812,LPO,,Image,Rectangle,481.06,931.86,1124,40,0,0,1084,3.559,3.559,2,1,3,605354.2,3115.4
Image_16.vsi - 40x_02 #3,345492d9-78c6-495f-bb30-39b1e799d6c1,OVLT,,Image,Polygon,1243.8,1856.1,255,1,0,0,254,0.3922,0.3922,1,1,2,70057.1,1145.7
Image_16.vsi - 40x_02 #3,fd7ac7ad-5cfa-42b4-b5c3-967d01c77b3e,AVPE,,Image,Polygon,1247.5,1657.3,1430,50,20,51,1309,8.462,16.99,2,2,4,694145.4,4351.8
Image_16.vsi - 40x_02 #3,4d57ed8e-6ec7-433d-a955-8c97f1e3768f,MnPO,,Image,Polygon,1295.4,755.74,658,14,15,8,621,5.623,10.33,2,2,4,297963.5,2895.4
Image_16.vsi - 40x_02 #3,6310c3d3-9143-4035-b118-348c02dea030,LPO,,Image,Rectangle,421.42,888.12,904,5,4,2,893,1.217,2.102,2,2,4,594800.3,3089.5
Image_16.vsi - 40x_03 #5,62b45833-709f-4cc4-a64d-fbe24a2b718b,OVLT,,Image,Polygon,1666.1,2331.1,364,2,0,0,362,0.5495,0.5495,1,1,2,82111,1107.9
Image_16.vsi - 40x_03 #5,f5c85d4f-7e2b-4dcc-a34d-22d19ce1ef74,AVPE,,Image,Polygon,1640.7,1946.7,1421,37,13,50,1321,7.037,14.99,2,2,4,707028.6,4846.7
Image_16.vsi - 40x_03 #5,7859180a-bfb5-44e4-9576-e1a4e3ac1d67,MnPO,,Image,Polygon,1609.6,1008.5,742,22,6,10,704,5.121,8.625,2,2,4,307027.7,2496.6
Image_16.vsi - 40x_03 #5,7bc4e5a9-819c-4acf-8e03-1e56f24dc4e6,LPO,,Image,Rectangle,616.15,1135.9,1029,10,5,4,1010,1.846,3.11,2,2,4,602142.7,3108.7
Image_17.vsi - 40x_01 #1,e10cd648-45dc-471f-b5e8-d1270cd5228f,OVLT,,Image,Polygon,1178.5,1500.7,187,0,0,0,187,0,0,0,0,0,62034.7,947.09
Image_17.vsi - 40x_01 #1,66dbee48-a060-46d7-b3cf-6c37babb0409,MnPO,,Image,Polygon,1159.8,509.32,542,6,23,9,504,7.011,14.58,2,2,4,278508.7,2360
Image_17.vsi - 40x_01 #1,a5e9ab5f-ce6c-4482-ba5b-6853ba707e90,AVPE,,Image,Polygon,1157,1312.5,1218,9,47,13,1149,5.665,11.66,2,2,4,694822.2,4050.1
Image_17.vsi - 40x_01 #1,5e2735e9-1fee-42f8-9dc8-aa94b55c01b1,LPO,,Image,Rectangle,2053.9,495.19,814,8,7,0,799,1.843,2.703,2,1,3,606602.9,3115.7
Image_17.vsi - 40x_02 #3,a8a09cb8-7631-4f48-9dd1-fa75f6a89143,AVPE,,Image,Polygon,1325.5,1734.6,1436,14,109,60,1253,12.74,28.69,3,2,5,693721.9,4191.3
Image_17.vsi - 40x_02 #3,940ae37f-9c84-449c-baea-0c7e74e040c5,MnPO,,Image,Polygon,1317.9,907.88,659,17,37,15,590,10.47,20.64,3,2,5,297633.8,2664.9
Image_17.vsi - 40x_02 #3,ba336b67-4c63-4129-ab3a-ae440ba08320,OVLT,,Image,Polygon,1340.6,1810.5,171,2,1,0,168,1.754,2.339,2,1,3,45377.1,844.54
Image_17.vsi - 40x_02 #3,a3975b21-4128-49b8-bb40-4de883ae8a3b,LPO,,Image,Rectangle,396.42,881.65,983,8,9,4,962,2.136,3.866,2,2,4,606309.3,3116.8
Image_17.vsi - 40x_03 #5,158356e3-540b-4eea-bc8e-80f96950411d,OVLT,,Image,Polygon,1808.4,1659.4,371,7,6,0,358,3.504,5.121,2,1,3,87139.6,1530.7
Image_17.vsi - 40x_03 #5,4a6cf2b3-cd45-443c-bfd8-838175f959d3,AVPE,,Image,Polygon,1791.1,1530.5,1557,22,97,50,1388,10.85,23.51,3,2,5,709353.4,4714.4
Image_17.vsi - 40x_03 #5,a0472e48-8798-4b21-817e-e5daf85694a5,MnPO,,Image,Polygon,1783.6,681.51,690,10,42,38,600,13.04,30.14,3,2,5,287789.6,2841.8
Image_17.vsi - 40x_03 #5,9224f990-1f42-4ab6-913f-bb6f1b9f1138,LPO,,Image,Rectangle,752.57,636.58,963,10,6,2,945,1.869,2.908,2,1,3,605326.4,3123.6
Image_18.vsi - 40x_01 #1,871b08b8-ad0a-49b3-ba20-71ec0330bf68,AVPE_x05,,Image,Polygon,1116.8,1186.4,600,21,13,20,546,9,17.83,2,2,4,350353.9,2551
Image_18.vsi - 40x_01 #1,3b21e6c6-d13c-41dc-8daf-17bb8646a824,OVLT,,Image,Geometry,783.69,1443.4,262,0,0,0,262,0,0,0,0,0,52419.5,3012.9
Image_18.vsi - 40x_01 #1,8badef19-4f4d-4068-941d-f6553aaa64d4,LPO,,Image,Rectangle,1723.1,433.42,680,1,8,11,660,2.941,7.353,2,3,5,603855.7,3116.7
Image_18.vsi - 40x_02 #3,ecc2bb50-d3b5-46bf-8308-b287554da516,AVPE_x05,,Image,Polygon,1004.2,1288.1,477,9,9,17,442,7.338,16.35,2,2,4,351670.5,2592.9
Image_18.vsi - 40x_02 #3,9aee4a89-2875-49eb-9819-977c6e276344,LPO,,Image,Rectangle,1615.9,638.68,713,10,12,10,681,4.488,8.976,2,2,4,605725.6,3120.6
Image_18.vsi - 40x_03 #5,4adc820c-74a0-4285-a9f8-d8b1d8bcdf71,AVPE_x05,,Image,Polygon,1073.1,1482.3,569,7,7,16,539,5.272,12.13,2,2,4,356494.9,2973.9
Image_18.vsi - 40x_03 #5,adb405bd-eb2c-4bf8-b7ec-139888048ac4,LPO,,Image,Rectangle,1581.6,643.17,874,11,12,14,837,4.233,8.81,2,2,4,605349.2,3156.4
Image_19.vsi - 40x_01 #1,9d197b1e-9b9d-4b0b-b350-06bf766853bd,OVLT,,Image,Polygon,1217,706.53,197,1,1,0,195,1.015,1.523,2,1,3,76899.3,1061.1
Image_19.vsi - 40x_01 #1,9f26b2f2-44f8-481d-a72a-cddd12fbccd1,AVPE,,Image,Polygon,1356.6,873.91,1095,40,24,13,1018,7.032,11.6,2,1,3,700321.3,4149.5
Image_19.vsi - 40x_01 #1,700b5dc6-58f9-46c4-9da7-ac63912b3a5a,MnPO,,Image,Polygon,1684.6,1607.1,456,10,9,6,431,5.482,10.09,2,2,4,300826.8,2559.4
Image_19.vsi - 40x_01 #1,89276f04-bc7e-4f2f-b6c1-e5e197ad8335,LPO,,Image,Rectangle,795.11,1947.6,670,9,8,4,649,3.134,5.522,2,2,4,602895.1,3122.3
Image_19.vsi - 40x_02 #3,9099c6f5-1e72-4f61-a14c-ea00c3f2d35f,OVLT,,Image,Geometry,2156.5,1901,259,0,0,0,259,0,0,0,0,0,44493.6,1690.7
Image_19.vsi - 40x_02 #3,c0841735-0669-4cce-a363-09d6032e9d6c,AVPE,,Image,Polygon,1968.9,1585,1304,53,32,18,1201,7.899,13.11,2,1,3,704697.1,3969
Image_19.vsi - 40x_02 #3,287c0a1d-c72d-48a5-9569-b34a5da664c4,MnPO,,Image,Polygon,1789.6,614.73,545,8,18,4,515,5.505,10.28,2,2,4,300353.3,2857.9
Image_19.vsi - 40x_02 #3,cfb7a437-0a31-42c2-afeb-034221238185,LPO,,Image,Rectangle,929.59,1077.6,720,11,7,1,701,2.639,3.889,2,1,3,607306.1,3117.8
Image_19.vsi - 40x_03 #5,19c2f6c4-ef1e-43a5-81b8-93389272bc4c,OVLT,,Image,Polygon,2037.5,2210.9,472,2,1,0,469,0.6356,0.8475,1,1,2,122795,1907.1
Image_19.vsi - 40x_03 #5,5fa35133-22a0-46cb-9ab8-46c8bec198b5,AVPE,,Image,Polygon,1836.2,1754.1,1318,54,37,24,1203,8.725,15.17,2,2,4,707973,5020.3
Image_19.vsi - 40x_03 #5,3e7cec9b-7808-4853-8be2-a9ad600093d1,MnPO,,Image,Polygon,1749.6,829.42,611,15,19,5,572,6.383,11.13,2,2,4,300048.5,2704.7
Image_19.vsi - 40x_03 #5,d0a14019-7268-4ed0-839e-300395430587,LPO,,Image,Rectangle,2704.2,912.61,908,16,16,13,863,4.956,9.581,2,2,4,605459.8,3112.5
Image_20.vsi - 40x_02 #3,fbb01968-b3fe-4cdd-b120-9585c639d598,OVLT,,Image,Polygon,1063.7,2013.8,352,20,3,0,329,6.534,7.386,2,1,3,79323.8,1212.3
Image_20.vsi - 40x_02 #3,aaaa4c46-5acb-4292-b7c4-5c610c84028e,AVPE_x05,,Image,Polygon,1296.3,1658.4,781,35,20,15,711,8.963,15.36,2,2,4,354329,2386.5
Image_20.vsi - 40x_02 #3,9037f3df-834c-42a5-a8b7-10d17e96da9d,LPO,,Image,Rectangle,1819.3,979.89,1040,6,11,4,1019,2.019,3.846,2,2,4,587745.1,3066.7
Image_20.vsi - 40x_03 #5,377c9808-3c4d-4bd2-9929-ef049cbc5037,OVLT,,Image,Polygon,736.23,1989.6,392,0,1,0,391,0.2551,0.5102,1,2,3,99597.8,1314.2
Image_20.vsi - 40x_03 #5,4aedfca2-1341-453b-8d29-2209ad208752,AVPE_x05,,Image,Polygon,973.03,1532,676,24,9,16,627,7.249,13.31,2,2,4,344158.2,2490.6
Image_22_01.vsi - 40x_01 #1,2b18b6d1-e16d-4af4-9350-7967ae045a14,AVPE_x05,,Image,Polygon,1386.8,1440.8,776,8,55,24,689,11.21,24.48,3,2,5,356705.2,2744.8
Image_22_01.vsi - 40x_01 #1,5563f79a-0e5c-449b-8ca9-b2c42e96a02b,OVLT,,Image,Polygon,1582.7,1863.9,381,7,1,0,373,2.1,2.362,2,1,3,83025.8,1296.9
Image_22_01.vsi - 40x_01 #1,9d9c6022-790d-431d-bce8-a09fc485bc8f,MnPO_x05,,Image,Polygon,1700.6,786.99,302,10,4,10,278,7.947,15.89,2,2,4,135109.2,1759.5
Image_22_01.vsi - 40x_02 #3,ae9333b3-a5c4-4020-8202-8941c2a0d408,MnPO_x05,,Image,Polygon,1453.6,299.9,390,12,17,7,354,9.231,17.18,2,2,4,167018.2,1659.3
Image_22_01.vsi - 40x_02 #3,daec21b0-b5e7-47a8-a008-8ce42e589f1f,AVPE_x05,,Image,Polygon,1098.5,1047.2,712,12,44,11,645,9.41,18.68,2,2,4,347513.6,2566.1
Image_22_01.vsi - 40x_02 #3,7b4787fb-b2e7-4707-84a5-5a923a6fc7d2,LPO,,Image,Rectangle,380.02,396.82,872,2,4,0,866,0.6881,1.147,1,1,2,603208.4,3107.4
Image_22_01.vsi - 40x_03 #5,cc2712ce-0035-4804-9aff-1c13e82f4ccb,AVPE_x05,,Image,Polygon,632.44,758.27,733,11,59,12,651,11.19,22.51,3,2,5,355016.9,3057.3
Image_23.vsi - 40x_01 #1,bde5c577-a5f2-4238-a79f-6515e189d087,OVLT,,Image,Polygon,1406.9,1956.5,147,0,0,0,147,0,0,0,0,0,45710.8,766.07
Image_23.vsi - 40x_01 #1,1cf94332-db4c-4a17-8af1-9ac91083e328,AVPE,,Image,Polygon,1422.1,1662.3,1188,17,7,10,1154,2.862,5.135,2,2,4,704442.9,3780.4
Image_23.vsi - 40x_01 #1,8d99c08c-73a1-48e4-af78-1637579f0f6d,MnPO,,Image,Polygon,1527.5,701.65,525,6,6,0,513,2.286,3.429,2,1,3,306427.1,2494.2
Image_23.vsi - 40x_01 #1,5b7d35d9-c120-4770-b38b-171bf1caedf1,LPO,,Image,Rectangle,2432.2,703.86,828,10,6,3,809,2.295,3.744,2,1,3,606440.5,3124.5
Image_23.vsi - 40x_02 #3,aa4acee0-572b-4b94-86e7-a58fcc5bba05,OVLT,,Image,Polygon,1483,2322.9,428,2,1,0,425,0.7009,0.9346,1,1,2,120742.9,1307.1
Image_23.vsi - 40x_02 #3,ae05511c-fc02-4824-a25f-d178f270d1f3,AVPE,,Image,Polygon,1550.2,1688,1481,30,33,12,1406,5.064,8.913,2,2,4,701854.5,3361.6
